neighborhood,property_count,median_building_age,mean_building_age,share_pre_1940,share_pre_1900,share_remodeled,median_total_value,median_building_value,median_land_value,median_living_area,median_gross_area,median_land_sf,share_condo,share_multifamily,population_2025,properties_per_1000_residents
Allston,4173,105.0,92.552,0.673,0.132,0.543,546000.0,506700.0,0.0,1199.6,1237.0,1368.0,0.572,0.291,31810,131.185
Brighton,11666,96.0,85.924,0.609,0.06,0.51,478950.0,446650.0,0.0,1055.0,1061.0,1121.0,0.621,0.247,55869,208.81
Charlestown,6786,126.0,105.096,0.616,0.501,0.555,720050.0,659600.0,0.0,1210.0,1290.0,1135.0,0.722,0.085,19232,352.849
Dorchester,27077,115.0,100.255,0.725,0.122,0.444,631300.0,479200.0,186400.0,2424.0,3970.0,3550.0,0.294,0.432,123056,220.038
Downtown,35079,115.0,91.808,0.555,0.307,0.618,750100.0,737100.0,0.0,1005.0,1008.0,1000.0,0.885,0.067,15752,2226.955
East Boston,9465,115.0,89.517,0.654,0.107,0.426,610300.0,515800.0,91300.0,1640.0,2457.0,1522.0,0.457,0.376,46892,201.847
Hyde Park,8488,80.0,84.88,0.418,0.074,0.316,524700.0,337700.0,189500.0,1608.0,2676.0,5448.0,0.14,0.235,33469,253.608
Jamaica Plain,11566,113.0,94.26,0.678,0.112,0.529,649750.0,580000.0,0.0,1487.0,1827.5,2319.5,0.608,0.178,42949,269.296
Mattapan,4434,95.0,88.679,0.526,0.027,0.351,546350.0,367950.0,174950.0,1936.0,3206.0,4791.0,0.097,0.42,24424,181.543
Mission Hill,1550,115.0,89.168,0.608,0.145,0.458,762400.0,610050.0,211550.0,2347.3,3197.0,1975.0,0.342,0.443,19000,81.579
Roslindale,9869,100.0,88.987,0.59,0.071,0.406,602000.0,441900.0,182900.0,1591.2,2534.0,4281.5,0.384,0.217,29378,335.932
Roxbury,13868,120.0,91.725,0.555,0.291,0.493,644600.0,566400.0,0.0,1387.0,1443.0,1494.0,0.679,0.18,56800,244.155
South Boston,14941,120.0,88.965,0.588,0.268,0.481,679700.0,630600.0,0.0,1205.0,1258.0,1207.0,0.735,0.141,40904,365.27
West Roxbury,10279,90.0,83.784,0.48,0.039,0.375,647200.0,426400.0,222300.0,1593.3,2722.0,5160.0,0.157,0.105,31381,327.555
